model,layer,subject,rsa_All pairs,rsa_Both in RSR,rsa_One in RSR,rsa_Neither in RSR
mlm_control,10,M03,0.006925464016159876,-0.006762956669498725,-0.022541994845584733,0.008411531907926411
mlm_control,10,M04,0.061584130978827686,0.10405661264849402,0.03720799592332849,0.06004818759090811
mlm_control,10,M05,0.03692725502837023,0.06777872015777875,0.0043897559689941605,0.034457108655295096
mlm_control,10,M06,0.03135698748198322,0.02046774348850876,0.008358221303471539,0.04797386208580576
mlm_control,10,M07,0.006543709035214803,0.1039914248748723,0.035637360248296,-0.014330305063617956
mlm_control,10,M08,0.07898928040744711,-0.018501854365275093,0.034257942628709626,0.08736917951801693
mlm_control,10,M09,0.03010647559856014,-0.008046347879884794,-0.04037976494292672,0.053260177678502996
mlm_control,10,M10,0.028764700464433097,-0.06833520313166934,-0.017518176699833014,0.07015794239156002
mlm_control,11,M01,0.01644718527885568,0.013279697605465294,0.030807295630126002,-0.0058497759817909304
mlm_control,11,M02,0.09070913975072051,0.06592255456386353,0.07950648007409616,0.03041642525461666
mlm_control,11,M03,0.006820913840154777,-0.04609627057316174,-0.03341160790086329,0.013810986429189386
mlm_control,11,M04,0.048328832991594094,0.09883801225618684,0.03279749824692607,0.03650384593643456
mlm_control,11,M05,0.04621745704896899,0.09310914691081154,0.026210330749570188,0.026267432939990988
mlm_control,11,M06,0.02980805269506954,0.004527204182347209,0.015943711251829026,0.04236502242585465
mlm_control,11,M07,0.013379105748939994,0.13550752573847194,0.050822669103790026,-0.01229993681216959
mlm_control,11,M08,0.0706311550393624,-0.01568255509510516,0.021858639121448867,0.07152016406959662
mlm_control,11,M09,0.025573807807639598,-0.02825229254738103,-0.050069592455718744,0.04435032798225376
mlm_control,11,M10,0.01406700760951201,-0.06903604363707196,-0.033505952391179775,0.052013187915282005
mlm_control,12,M01,-0.02011296066004808,-0.02560824398451873,-0.010926972038293063,-0.03578482905436891
mlm_control,12,M02,0.09491496782903946,0.14606095038387737,0.10283855985133698,0.03023146496866291
mlm_control,12,M03,-0.0032300013515477997,-0.074840042779707,-0.03583367810402102,0.01057578935336133
mlm_control,12,M04,0.031541938498435736,0.10907857247998712,0.02518231764445821,0.010539646491020738
mlm_control,12,M05,0.0273714148255391,0.094935260461494,0.011447369447931538,0.007962206161587666
mlm_control,12,M06,0.014813242796233717,-0.016663566527498577,0.00874132813505845,0.022748291134629544
mlm_control,12,M07,0.007480336343872481,0.034077165058615494,0.013880844715905815,0.012364727468753207
mlm_control,12,M08,0.04101983935402792,0.04213001326997293,0.030082411029350158,0.012913648113804344
mlm_control,12,M09,-0.0058808567867083454,-0.03848169669718969,-0.061004204167421194,0.006239929719480583
mlm_control,12,M10,-0.0041075005991514256,-0.03324345512170413,-0.02159173951626316,0.004435481452717917
rsr,0,M01,-0.02070498549201237,-0.07850784559019651,-0.008997128022804678,-0.02374953294871208
rsr,0,M02,0.05370927216657915,0.07830905054948459,0.06299032089149591,0.03394695779083993
rsr,0,M03,0.01340957574448163,-0.02714252880602339,0.009377199755908845,0.0188298071407294
rsr,0,M04,0.032441725547903894,0.10208317546726203,0.042056717538463746,0.012888920064661021
rsr,0,M05,0.0449567215298224,0.11217911991709677,0.036211646887507505,0.040515181425256654
rsr,0,M06,0.015747385579257825,-0.01603301223958554,0.010978509548609705,0.023548350206829643
rsr,0,M07,0.019226898493497978,-0.021754536120925344,-0.008371680997704196,0.04657992597398352
rsr,0,M08,0.028777066112820833,0.00045000592113054116,0.03110420262494055,0.02395427698014106
rsr,0,M09,0.024486904248896473,0.0923142545038406,0.005320166985524266,0.02534606638208534
rsr,0,M10,0.020253340065058537,-0.0031424343630689676,0.027584355743919025,0.018242834189859107
rsr,1,M01,-0.0252743304926433,-0.09437368642209139,-0.014199329879383243,-0.028316641682954086
rsr,1,M02,0.0610962637585021,0.10244920094251116,0.06864204739813688,0.029070646874716485
rsr,1,M03,0.002261826586197178,-0.04361579278035261,-0.014281890002643623,0.013267459566424009
rsr,1,M04,0.04327977444141865,0.10502890286431461,0.0514993509233528,0.023106252562585722
rsr,1,M05,0.03791204245196207,0.17192121686795436,0.04249627407122507,0.01043929145350707
rsr,1,M06,0.011362316261414802,-0.0010997217990940116,0.014828200107195804,0.010432672679204037
rsr,1,M07,0.022003114381480636,-0.009362351422971257,0.008678891765079192,0.04154611296875101
rsr,1,M08,0.03967616105563751,0.00039828364687041496,0.029955022190707753,0.03881940468749381
rsr,1,M09,0.020520377806503183,0.12659245024497984,-0.015404650039563107,0.020039525553866542
rsr,1,M10,0.030993021491958685,0.025925218150312603,0.024556988674911247,0.034393099770797145
rsr,2,M01,-0.027176920093422114,-0.0970885007955712,-0.018634958506968786,-0.029754816578512113
rsr,2,M02,0.10152863026699332,0.1482319725554677,0.11036354601092264,0.06335676309580342
rsr,2,M03,0.017465620446521692,-0.01883022809080247,-0.00297391285736214,0.027773358112031188
rsr,2,M04,0.045412811873280536,0.08578133283357268,0.051661641466275804,0.028887933768044993
rsr,2,M05,0.06095252859373146,0.1774470151046011,0.06316428718310642,0.03580907106406085
rsr,2,M06,0.025943668092300948,0.024469667763705204,0.03283808748847258,0.021253063048329936
rsr,2,M07,0.02381653425127836,-0.008714915456954487,0.015980538822397042,0.04125400617400681
rsr,2,M08,0.046748488227887124,0.0003338189521185288,0.038017296415331546,0.042282327942603226
